scholar_name,mag_name,jw,qgram,scholar_cat
Proceedings of the London Mathematical Society,Proceedings of The Vldb Endowment,0.881,0.447,phy_algebra
Proceedings of the American Mathematical Society,Proceedings of The London Mathematical Society,0.905,0.837,phy_algebra
Proceedings of the American Mathematical Society,Notices of the American Mathematical Society,0.888,0.796,phy_algebra
Proceedings of the American Mathematical Society,Proceedings of the IEEE,0.887,0.408,phy_algebra
Mathematische Zeitschrift,Mathematische Zeitschrift,1,1,phy_algebra
Mathematische Zeitschrift,Mathematische Semesterberichte,0.895,0.516,phy_algebra
Mathematische Zeitschrift,Mathematische Nachrichten,0.89,0.654,phy_algebra
Linear and Multilinear Algebra,Linear & Multilinear Algebra,0.906,0.871,phy_algebra
Linear and Multilinear Algebra,Linear Algebra and its Applications,0.854,0.583,phy_algebra
Linear and Multilinear Algebra,Clinical and Experimental Pharmacology,0.796,0.205,phy_algebra
Linear Algebra and its Applications,Linear Algebra and its Applications,1,1,phy_algebra
Linear Algebra and its Applications,Journal of Algebra and Its Applications,0.849,0.725,phy_algebra
Linear Algebra and its Applications,Linear & Multilinear Algebra,0.828,0.472,phy_algebra
Journal of the London Mathematical Society,Journal of The London Mathematical Society-second Series,0.95,0.737,phy_algebra
Journal of the London Mathematical Society,Journal of The Korean Mathematical Society,0.941,0.86,phy_algebra
Journal of the London Mathematical Society,Journal of the Indian Mathematical Society,0.925,0.884,phy_algebra
Journal of Pure and Applied Algebra,Journal of Pure and Applied Algebra,1,1,phy_algebra
Journal of Pure and Applied Algebra,Journal of Pure and Applied Microbiology,0.93,0.683,phy_algebra
Journal of Pure and Applied Algebra,Journal of Pulp and Paper Science,0.901,0.556,phy_algebra
Journal of Algebra,Journal of Algebra,1,1,phy_algebra
Journal of Algebra,Journal of Allergy,0.943,0.684,phy_algebra
Journal of Algebra,Journal of Liver,0.931,0.579,phy_algebra
Israel Journal of Mathematics,Israel Journal of Mathematics,1,1,phy_algebra
Israel Journal of Mathematics,Israel Journal of Chemistry,0.934,0.667,phy_algebra
Israel Journal of Mathematics,Milan Journal of Mathematics,0.929,0.767,phy_algebra
Inventiones Mathematicae,Inventiones Mathematicae,1,1,phy_algebra
Inventiones Mathematicae,Indagationes Mathematicae,0.886,0.808,phy_algebra
Inventiones Mathematicae,Investment Magazine,0.874,0.44,phy_algebra
Compositio Mathematica,Compositio Mathematica,1,1,phy_algebra
Compositio Mathematica,Composites,0.862,0.348,phy_algebra
Compositio Mathematica,Composition Studies,0.86,0.435,phy_algebra
Communications in Algebra,Communications in Algebra,1,1,phy_algebra
Communications in Algebra,Communication Et Langages,0.925,0.615,phy_algebra
Communications in Algebra,Communications Engineer,0.924,0.615,phy_algebra
Canadian Journal of Mathematics,Canadian Journal of Mathematics,1,1,phy_algebra
Canadian Journal of Mathematics,Carpathian Journal of Mathematics,0.941,0.824,phy_algebra
Canadian Journal of Mathematics,Canadian Journal of Chemistry,0.938,0.688,phy_algebra
Bulletin of the London Mathematical Society,Bulletin of The London Mathematical Society,1,1,phy_algebra
Bulletin of the London Mathematical Society,Bulletin of The Korean Mathematical Society,0.942,0.864,phy_algebra
Bulletin of the London Mathematical Society,Bulletin of The Iranian Mathematical Society,0.918,0.844,phy_algebra
Algebraic Geometry,Algebraic & Geometric Topology,0.92,0.581,phy_algebra
Algebraic Geometry,Algebraic Biology,0.882,0.579,phy_algebra
Algebraic Geometry,Algebra & Number Theory,0.857,0.417,phy_algebra
Algebra & Number Theory,Algebra & Number Theory,1,1,phy_algebra
Algebra & Number Theory,Algebraic and Numeric Biology,0.847,0.4,phy_algebra
Algebra & Number Theory,Algebraic & Geometric Topology,0.843,0.387,phy_algebra
Advances in Mathematics,Advances in Mathematics,1,1,phy_algebra
Advances in Mathematics,Advances in Pure Mathematics,0.947,0.828,phy_algebra
Advances in Mathematics,Advances in Mathematical Physics,0.944,0.727,phy_algebra
Topology and its Applications,Topology and its Applications,1,1,phy_geometry
Topology and its Applications,Topological Algebra and its Applications,0.876,0.683,phy_geometry
Topology and its Applications,Topology,0.855,0.3,phy_geometry
The Journal of Geometric Analysis,The Journal of Cost Analysis,0.942,0.706,phy_geometry
The Journal of Geometric Analysis,The Journal of Geometric Mechanics,0.939,0.771,phy_geometry
The Journal of Geometric Analysis,The Journal of Molecular Diagnostics,0.921,0.459,phy_geometry
Symposium on Computational Geometry,Symposium on Computational Geometry,1,1,phy_geometry
Symposium on Computational Geometry,Symposium on Computer Animation,0.925,0.639,phy_geometry
Symposium on Computational Geometry,Symposium on Computer Arithmetic,0.906,0.611,phy_geometry
Pacific Journal of Mathematics,Pacific Journal of Mathematics,1,1,phy_geometry
Pacific Journal of Mathematics,Pacific Journal,0.9,0.516,phy_geometry
Pacific Journal of Mathematics,Pacific Journal of Optimization,0.898,0.656,phy_geometry
Mathematische Zeitschrift,Mathematische Zeitschrift,1,1,phy_geometry
Mathematische Zeitschrift,Mathematische Semesterberichte,0.895,0.516,phy_geometry
Mathematische Zeitschrift,Mathematische Nachrichten,0.89,0.654,phy_geometry
Mathematische Annalen,Mathematische Annalen,1,1,phy_geometry
Mathematische Annalen,Mathematical Finance,0.897,0.591,phy_geometry
Mathematische Annalen,Mathematische Nachrichten,0.893,0.654,phy_geometry
Mathematical Research Letters,Mathematical Research Letters,1,1,phy_geometry
Mathematical Research Letters,Mathematical Sciences Letters,0.929,0.733,phy_geometry
Mathematical Research Letters,Mathematical Reports,0.893,0.533,phy_geometry
Journal of the Mathematical Society of Japan,Journal of The Mathematical Society of Japan,1,1,phy_geometry
Journal of the Mathematical Society of Japan,Journal of the Pharmaceutical Society of Japan,0.954,0.809,phy_geometry
Journal of the Mathematical Society of Japan,Journal of the Mineralogical Society of Japan,0.91,0.804,phy_geometry
Journal of Topology,Journal of Topology,1,1,phy_geometry
Journal of Topology,Journal of otology,0.978,0.85,phy_geometry
Journal of Topology,Journal of Zoology,0.968,0.8,phy_geometry
Journal of Geometry and Physics,Journal of Geometry and Physics,1,1,phy_geometry
Journal of Geometry and Physics,Journal of Modern Physics,0.929,0.594,phy_geometry
Journal of Geometry and Physics,Journal of geophysics,0.926,0.656,phy_geometry
Journal of Differential Geometry,Journal of Differential Geometry,1,1,phy_geometry
Journal of Differential Geometry,Journal of Differential Equations,0.925,0.706,phy_geometry
Journal of Differential Geometry,Journal of Veterinary Epidemiology,0.904,0.429,phy_geometry
Inventiones Mathematicae,Inventiones Mathematicae,1,1,phy_geometry
Inventiones Mathematicae,Indagationes Mathematicae,0.886,0.808,phy_geometry
Inventiones Mathematicae,Investment Magazine,0.874,0.44,phy_geometry
International Journal of Geometric Methods in Modern Physics,International Journal of Geometric Methods in Modern Physics,1,1,phy_geometry
International Journal of Geometric Methods in Modern Physics,International Journal of Economic Practices and Theories,0.921,0.574,phy_geometry
International Journal of Geometric Methods in Modern Physics,International Journal of Geographic Information Systems,0.916,0.59,phy_geometry
"Groups, Geometry, and Dynamics","Groups, Geometry, and Dynamics",1,1,phy_geometry
"Groups, Geometry, and Dynamics","Group Dynamics: Theory, Research, and Practice",0.837,0.468,phy_geometry
"Groups, Geometry, and Dynamics",Geodesy and Geodynamics,0.784,0.516,phy_geometry
Geometry & Topology,Geometry & Topology,1,1,phy_geometry
Geometry & Topology,Geometry and Topology Monographs,0.902,0.545,phy_geometry
Geometry & Topology,Geometry & Graphics,0.858,0.55,phy_geometry
Geometric and Functional Analysis,Geometric and Functional Analysis,1,1,phy_geometry
Geometric and Functional Analysis,Geometric Modeling and Processing,0.849,0.441,phy_geometry
Geometric and Functional Analysis,Geomatics and Information Science of Wuhan University,0.84,0.315,phy_geometry
Discrete & Computational Geometry,Discrete and Computational Geometry,0.939,0.889,phy_geometry
Discrete & Computational Geometry,Discrete Geometry for Computer Imagery,0.86,0.615,phy_geometry
Discrete & Computational Geometry,Discrete Optimization,0.847,0.382,phy_geometry
Annales de l’Institut Fourier,Annales de l'Institut Fourier,0.986,0.933,phy_geometry
Annales de l’Institut Fourier,Annales de l'Institut Pasteur,0.923,0.733,phy_geometry
Annales de l’Institut Fourier,Annales De L'institut Pasteur. Virologie,0.914,0.537,phy_geometry
Algebraic Geometry,Algebraic & Geometric Topology,0.92,0.581,phy_geometry
Algebraic Geometry,Algebraic Biology,0.882,0.579,phy_geometry
Algebraic Geometry,Algebra & Number Theory,0.857,0.417,phy_geometry
Algebraic & Geometric Topology,Algebraic & Geometric Topology,1,1,phy_geometry
Algebraic & Geometric Topology,Algebraic Biology,0.882,0.484,phy_geometry
Algebraic & Geometric Topology,Algebraic and Numeric Biology,0.862,0.613,phy_geometry
Zootaxa,Zootaxa,1,1,bio_zoology
Zootaxa,Zootecnia,0.854,0.5,bio_zoology
Zootaxa,Zoosystema,0.817,0.364,bio_zoology
Zoology,Zoology,1,1,bio_zoology
Zoology,Zoologia,0.921,0.667,bio_zoology
Zoology,Zoo Biology,0.882,0.667,bio_zoology
Zoological Journal of the Linnean Society,Zoological Journal of the Linnean Society,1,1,bio_zoology
Zoological Journal of the Linnean Society,Botanical Journal of the Linnean Society,0.852,0.833,bio_zoology
Zoological Journal of the Linnean Society,Biological Journal of The Linnean Society,0.848,0.929,bio_zoology
Zoologica Scripta,Zoologica Scripta,1,1,bio_zoology
Zoologica Scripta,Zoological Science,0.897,0.579,bio_zoology
Zoologica Scripta,Zoologia,0.894,0.444,bio_zoology
ZooKeys,ZooKeys,1,1,bio_zoology
ZooKeys,Zoosystema,0.834,0.364,bio_zoology
ZooKeys,Zoology,0.8,0.375,bio_zoology
Systematic Entomology,Systematic Entomology,1,1,bio_zoology
Systematic Entomology,Systematic Biology,0.918,0.727,bio_zoology
Systematic Entomology,Systematic Botany,0.906,0.545,bio_zoology
Molecular Phylogenetics and Evolution,Molecular Phylogenetics and Evolution,1,1,bio_zoology
Molecular Phylogenetics and Evolution,Molecular Reproduction and Development,0.886,0.538,bio_zoology
Molecular Phylogenetics and Evolution,Molecular Biology and Evolution,0.882,0.684,bio_zoology
Marine Mammal Science,Marine Mammal Science,1,1,bio_zoology
Marine Mammal Science,Marine Sciences,0.92,0.636,bio_zoology
Marine Mammal Science,Marine life,0.877,0.364,bio_zoology
Mammal Review,Mammal Review,1,1,bio_zoology
Mammal Review,Mammalia,0.883,0.429,bio_zoology
Mammal Review,Naval Review,0.868,0.643,bio_zoology
Journal of the Marine Biological Association of the United Kingdom,Journal of the Marine Biological Association of the United Kingdom,1,1,bio_zoology
Journal of the Marine Biological Association of the United Kingdom,Journal of the Marine Biological Association of India,0.95,0.731,bio_zoology
Journal of the Marine Biological Association of the United Kingdom,Journal of the International Association of Providers of AIDS Care,0.897,0.567,bio_zoology
Journal of Zoology,Journal of Zoology,1,1,bio_zoology
Journal of Zoology,Journal of otology,0.978,0.842,bio_zoology
Journal of Zoology,Journal of Topology,0.968,0.8,bio_zoology
Journal of Mammalogy,Journal of Mammalogy,1,1,bio_zoology
Journal of Mammalogy,Journal of Glaucoma,0.925,0.571,bio_zoology
Journal of Mammalogy,Journal of Anatomy,0.925,0.571,bio_zoology
Journal of Helminthology,Journal of Helminthology,1,1,bio_zoology
